k,PC,curvature_C0,curvature_C1,curvature_C2,curvature_C3,curvature_C4,siphon_length,siphon_position
2,PC1,0.3482242395285874,-0.7825449912406434,-0.9929288103201147,-0.8717630195891065,-0.45924510272336366,0.12603917821309127,0.4460264373307852
2,PC2,0.9090301003344482,0.4381270903010034,0.06134734830387005,0.44957795827361047,-0.8295110686415036,-0.9487816531294794,-0.8747252747252747
3,PC1,0.358082497212932,-0.30600414078674953,-0.9911928651059086,-0.8414556458034719,-0.12658066571110052,-0.008998248128682912,0.3897435897435897
3,PC2,0.8796942188246536,0.1439082656473961,0.05677655677655678,0.4606784519827999,-0.2647396082178691,-0.5733078515687212,-0.8069119286510592
3,PC3,-0.006465997770345597,0.8556139512661253,-0.13588150979455327,-0.12164357381748687,0.8806179327918459,-0.778324573976748,-0.35301799649625737
4,PC1,0.3891224717311674,-0.2069119286510591,-0.9498009237139672,-0.8334925943621596,-0.14037267080745341,-0.016642777512342728,0.4247173116738334
4,PC2,0.7065934065934067,-0.03874820831342571,0.029112916069437816,0.44690237298932955,-0.32575250836120406,-0.2849976110845676,-0.7862876254180602
4,PC3,-0.1406115623506928,0.24188565058130276,-0.1864946647555343,-0.08719541328236981,0.5726867335562988,-0.36532887402452624,-0.34556458034718907
4,PC4,0.3615543876413442,0.8506131549609811,0.15669692626214365,-0.2272973403408186,0.5570313744226788,-0.736184105749323,0.0724478420130594
5,PC1,0.42427138079311993,-0.22595954769867815,-0.9233635929288104,-0.6371078197165153,-0.03194776238254499,-0.026453256888039497,0.4350215002388916
5,PC2,0.6665392578436057,-0.007994903647077561,0.015320910973084887,0.4069915591654722,-0.09746774964166267,-0.2873706004140787,-0.745230132186654
5,PC3,-0.15257206561554387,0.24155120242076766,-0.1955088389870999,-0.05484949832775919,0.37238413760152894,-0.3162605510431597,-0.34636088549132027
5,PC4,0.3220895046982003,0.8011785316133141,0.17905717470934865,-0.073355629877369,0.5126612517916866,-0.6206243032329989,0.011912724956203219
5,PC5,-0.059308807134894094,-0.22607103041885654,-0.22936773371555982,-0.599792960662526,-0.7474597865902214,-0.19276954929128842,0.29358178053830225
6,PC1,0.39732441471571905,-0.2106704889313585,-0.9006211180124225,-0.34263417741678615,-0.07791049530179965,-0.0519350215002389,0.3725433986303551
6,PC2,0.6580347189042841,-0.011307533046663482,0.06693741041567129,0.23471890428412168,-0.12494027711419017,-0.296735148909062,-0.6141423793597707
6,PC3,-0.1573658225832139,0.1581462016244625,-0.1783882783882784,-0.017900939640070074,0.42888995062908103,-0.24075489727663643,-0.3553909858257685
6,PC4,0.30471412645325696,0.6906991559165472,0.1923554706163402,0.013011626055104315,0.466268514094601,-0.5694059563624781,-0.008536391145086798
6,PC5,-0.07450230928491798,-0.2998566650740564,-0.2533205924510273,-0.27039337474120084,-0.632457397674789,-0.1146201624462494,0.22272654881350534
6,PC6,-0.14852683548335724,0.3718745023092849,-0.132712215320911,0.8411689759515848,0.24194935499283327,0.3793119923554706,-0.5021978021978022
7,PC1,0.2699315177576047,-0.18706800445930885,-0.8475075648988694,-0.268434464086638,-0.06993151775760471,-0.06657111004937091,0.3669851887243192
7,PC2,0.38377130116260555,-0.002930402930402931,0.022630992196209586,0.17053670966714446,-0.20269151138716357,-0.31627647714604235,-0.6095238095238096
7,PC3,-0.016658703615225354,0.14437012263099222,-0.15359133620003185,-0.040293040293040296,0.4095715878324574,-0.2417582417582418,-0.3350692785475395
7,PC4,0.1626851409460105,0.5956999522216914,0.20697563306258962,-0.014237935977066412,0.3879280140149705,-0.5071508201942985,0.006927854753941711
7,PC5,-0.017693900302595954,-0.3009077878643096,-0.2557732122949515,-0.24400382226469186,-0.5545787545787546,-0.10834527791049531,0.20992196209587513
7,PC6,-0.05935658544354197,0.3552317247969422,-0.11356903965599617,0.6365185539098582,0.19976110845676065,0.38725911769390037,-0.4821786908743431
7,PC7,-0.7574295269947444,0.29168657429526995,-0.2895524765089983,0.5758082497212932,0.31323459149546107,-0.19743589743589743,-0.19450549450549454
8,PC1,0.2740723045070871,-0.17826086956521742,-0.8202261506609333,-0.26642777512342736,-0.021516164994425865,-0.055900621118012424,0.36593406593406597
8,PC2,0.3744545309762702,-0.01753463927376971,0.02122949514253862,0.17574454530976272,-0.15281095715878326,-0.33103997451823547,-0.5591176939003026
8,PC3,-0.008902691511387164,0.17534639273769712,-0.15838509316770186,-0.05387800605191909,0.3426660296225514,-0.258082497212932,-0.26106067845198283
8,PC4,0.16166587036152255,0.45687211339385253,0.2508679726071031,-0.01240643414556458,0.36644370122631,-0.4096352922439879,-0.010033444816053512
8,PC5,-0.023283962414397195,-0.33577002707437487,-0.22818920210224558,-0.2278069756330626,-0.4051600573339704,-0.0952858735467431,0.19933110367892976
8,PC6,-0.06770186335403726,0.46106067845198284,-0.11591017677974201,0.6365663322185062,0.09116101290014335,0.34917980570154483,-0.45513616817964647
8,PC7,-0.759993629558847,0.2670011148272018,-0.295078834209269,0.5563784042044913,0.25836916706481927,-0.19499920369485588,-0.2058289536550406
8,PC8,0.0646121993948081,0.0763815894250677,0.23392259913999047,0.17278229017359453,0.6145405319318363,0.12967032967032968,-0.3175983436853002
9,PC1,0.2788342092689919,-0.16430960344003823,-0.8226628444019749,-0.2630992196209588,-0.0027711419015766844,-0.04483197961458831,0.3450708711578277
9,PC2,0.34886128364389235,-0.056187290969899675,0.043350852046504226,0.1944258639910814,-0.14597865902213727,-0.3383182035355949,-0.5547061634018156
9,PC3,-0.013075330466634814,0.15894250676859373,-0.13838190794712535,-0.058719541328236986,0.3314540531931836,-0.26123586558369166,-0.2514413123108775
9,PC4,0.12350692785475395,0.45633062589584333,0.2727026596591814,-0.02573658225832139,0.364405160057334,-0.41331422200987417,-0.03242554546902373
9,PC5,-0.033397037744863835,-0.32369804108934547,-0.22548176461219943,-0.22603917821309127,-0.40294632903328553,-0.08682911291606944,0.189520624303233
9,PC6,-0.06658703615225355,0.4421086160216595,-0.0987736900780379,0.5970855231724796,0.07991718426501035,0.33884376493072144,-0.42108616021659495
9,PC7,-0.7621914317566493,0.2975314540531932,-0.29063545150501674,0.48523650262780704,0.25203057811753465,-0.20428412167542606,-0.17757604714126454
9,PC8,0.08912247173116739,0.09891702500398154,0.21925465838509317,0.19219620958751396,0.611753463927377,0.11495461060678452,-0.31839464882943147
9,PC9,-0.12855550246854597,0.24425863991081384,-0.09590699155916547,-0.30495301799649627,0.13758560280299412,-0.22044911610129003,-0.17416786112438287
10,PC1,0.26649147953495783,-0.13553113553113552,-0.7186653925784362,-0.23159738811912728,0.0011626055104315975,-0.07098264054785794,0.3858576206402293
10,PC10,-0.06622073578595318,0.41586239847109413,-0.3588628762541806,0.001767797419971333,0.28748208313425705,-0.11818760949195734,-0.024223602484472053
10,PC2,0.3072782290173595,-0.0696607740086001,0.05032648510909381,0.21162605510431598,-0.13799968147794237,-0.3493549928332537,-0.5161172161172161
10,PC3,-0.025991399904443383,0.15981844242713808,-0.0993470297818124,-0.06121993948080905,0.34242713807931197,-0.2681637203376334,-0.24546902372989332
10,PC4,0.13049848702022615,0.4069756330625896,0.24452938365981844,-0.019764293677337157,0.34968944099378885,-0.410606784519828,-0.030132186653925783
10,PC5,-0.037505972288580984,-0.27912087912087913,-0.19407548972766364,-0.24718904284121676,-0.41829909221213574,-0.07340340818601689,0.1917184265010352
10,PC6,-0.058416945373467116,0.4129956999522217,-0.12180283484631312,0.5931039974518235,0.09855072463768116,0.31372830068482244,-0.4332537028189202
10,PC7,-0.7852365026278071,0.2846153846153846,-0.26857779901258166,0.4783564261825132,0.23830227743271223,-0.19622551361681798,-0.18530020703933747
10,PC8,0.08983914636088548,0.09302436693741042,0.2154323936932633,0.1730211817168339,0.5873228221054309,0.12194616977225674,-0.3077400860009556
10,PC9,-0.1345277910495302,0.22742474916387964,-0.10022296544035676,-0.33225035833731487,0.1368530020703934,-0.22027392896958115,-0.19963369963369965
